Mã,Phần,Nhóm lớn,Nhóm nhỏ,Việc,Ưu tiên,Ưu tiên gốc,Chặn bởi,Sẵn sàng làm ngay,Trạng thái,Người làm,Ước lượng,Ghi chú
FE-099,Frontend,2.2. Khu vực Guest/Public,"2.2.1. Giữ nguyên chức năng, chỉ redesign giao diện (P1)","/diem-chuan, /mentor/[id] (phần dữ liệu tĩnh nếu D-mới không đổi) — quyết định giữ hard-code hay chuyển CMS trước khi vẽ.",P1,P1,,Có,Chưa làm,,,
FE-100,Frontend,2.2. Khu vực Guest/Public,"2.2.1. Giữ nguyên chức năng, chỉ redesign giao diện (P1)","/dang-ky — giữ 2 bước hiện có, thêm bước 0 hoặc field mới: chọn vai trò (Học viên / Gia sư) → nếu Gia sư, submit gọi POST /api/auth/register-tutor (1.4.4) thay vì register thường, và sau khi tạo tài khoản chuyển hướng sang màn ""hồ sơ gia sư đang chờ duyệt"" thay vì vào thẳng dashboard.",P1,P1,D03,Không,Bị chặn,,,
FE-101,Frontend,2.2. Khu vực Guest/Public,2.2.2. Đã xóa/gỡ (Đã xong),"/gio-hang, /gioi-thieu, /vinh-danh — đã xóa route.",P1,P1,,—,Xong,,,
FE-102,Frontend,2.2. Khu vực Guest/Public,2.2.2. Đã xóa/gỡ (Đã xong),"Checkout modal Zalo/Hotline trong /khoa-hoc-da-luu — đã gỡ, giữ chức năng lưu/xóa khỏi danh sách.",P1,P1,,—,Xong,,,
FE-103,Frontend,2.2. Khu vực Guest/Public,2.2.2. Đã xóa/gỡ (Đã xong),"Nút ""Mua khóa học"" → PopupBuyRequired — đã gỡ, component đã xóa.",P1,P1,,—,Xong,,,
FE-104,Frontend,2.2. Khu vực Guest/Public,2.2.2. Đã xóa/gỡ (Đã xong),Bấm bài học khóa ở /student/bai-giang/[lessonId] không còn mở popup mua.,P1,P1,,—,Xong,,,
FE-105,Frontend,2.2. Khu vực Guest/Public,/giang-vien → danh sách gia sư động,Header: tiêu đề + mô tả ngắn.,P1,P1,D08,Không,Bị chặn,,,
FE-106,Frontend,2.2. Khu vực Guest/Public,/giang-vien → danh sách gia sư động,"Bộ lọc: theo môn dạy (subjects), sắp xếp theo đánh giá (nếu D08 chọn tổng hợp theo gia sư) hoặc theo số học viên.",P1,P1,D08,Không,Bị chặn,,,
FE-107,Frontend,2.2. Khu vực Guest/Public,/giang-vien → danh sách gia sư động,"Grid card gia sư: avatar, tên, môn dạy (badge), bio rút gọn (line-clamp), rating trung bình + số lượt (nếu có), số lớp đang dạy, badge ""Đã xác minh"" nếu tutorVerified, nút ""Xem hồ sơ"".",P1,P1,D08,Không,Bị chặn,,,
FE-108,Frontend,2.2. Khu vực Guest/Public,/giang-vien → danh sách gia sư động,"Loading skeleton (variant card), empty state (""Chưa có gia sư nào phù hợp bộ lọc"").",P1,P1,D08,Không,Bị chặn,,,
FE-109,Frontend,2.2. Khu vực Guest/Public,/giang-vien → danh sách gia sư động,API: GET /api/tutors?subject=&sort=.,P1,P1,D08,Không,Bị chặn,,,
FE-110,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,"Header: avatar, tên, môn dạy, badge xác minh.",P1,P1,D08,Không,Bị chặn,,,
FE-111,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,Bio đầy đủ (bio field).,P1,P1,D08,Không,Bị chặn,,,
FE-112,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,"Thống kê thật (không hard-code): số học viên (đếm Enrollment theo các Course.ownerId), số lớp, rating trung bình.",P1,P1,D08,Không,Bị chặn,,,
FE-113,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,"Danh sách lớp đang dạy: tên, giá gói rẻ nhất, số chỗ còn (nếu capacity có), nút ""Xem lớp"" → /khoa-hoc/[slug].",P1,P1,D08,Không,Bị chặn,,,
FE-114,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,"CTA ""Đăng ký học với [tên]"" → mở luồng mua gói (2.2.4) hoặc nhập mã mời, tùy lớp có bật cái nào.",P1,P1,D08,Không,Bị chặn,,,
FE-115,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,Trạng thái không tìm thấy gia sư.,P1,P1,D08,Không,Bị chặn,,,
FE-116,Frontend,2.2. Khu vực Guest/Public,/mentor/[id] → hồ sơ gia sư thật,API: GET /api/tutors/[id].,P1,P1,D08,Không,Bị chặn,,,
FE-117,Frontend,2.2. Khu vực Guest/Public,"/cong-dong, /cong-dong/[id] — cộng đồng theo lớp","Tab/dropdown ""Cộng đồng chung"" vs ""Cộng đồng lớp [tên]"" (chỉ hiện các lớp học viên đã enrolled hoặc gia sư đang dạy).",P1,P1,,Có,Chưa làm,,,
FE-118,Frontend,2.2. Khu vực Guest/Public,"/cong-dong, /cong-dong/[id] — cộng đồng theo lớp","Khi ở phạm vi lớp: ẩn thanh chọn category (hoi-dap/kinh-nghiem/...) nếu không cần, hoặc giữ nguyên tùy thiết kế Figma.",P1,P1,,Có,Chưa làm,,,
FE-119,Frontend,2.2. Khu vực Guest/Public,"/cong-dong, /cong-dong/[id] — cộng đồng theo lớp","Badge phân biệt bài đăng ""chung"" vs ""trong lớp X"" khi xem ở view tổng.",P1,P1,,Có,Chưa làm,,,
FE-120,Frontend,2.2. Khu vực Guest/Public,Mua gói theo lớp,Vị trí: trang riêng /khoa-hoc/[slug]/mua-goi hoặc modal ngay trong trang chi tiết khóa học.,P1,P1,,Có,Chưa làm,,,
FE-121,Frontend,2.2. Khu vực Guest/Public,Mua gói theo lớp,"Danh sách gói của lớp: tên, giá Coin, thời hạn (vd ""30 ngày""), badge ""Đang bán""/""Ngừng bán"".",P1,P1,,Có,Chưa làm,,,
FE-122,Frontend,2.2. Khu vực Guest/Public,Mua gói theo lớp,"Hiển thị số dư Coin hiện tại của học viên, nút mua disable nếu không đủ, kèm link ""Nạp thêm Coin"".",P1,P1,,Có,Chưa làm,,,
FE-123,Frontend,2.2. Khu vực Guest/Public,Mua gói theo lớp,Màn xác nhận: tóm tắt gói + giá + số dư sau khi trừ.,P1,P1,,Có,Chưa làm,,,
FE-124,Frontend,2.2. Khu vực Guest/Public,Mua gói theo lớp,Kết quả: thành công → toast + chuyển /student/hoc-tap?course=; thất bại → thông báo lỗi cụ thể (không đủ Coin / gói ngừng bán / đã có gói active).,P1,P1,,Có,Chưa làm,,,
FE-125,Frontend,2.2. Khu vực Guest/Public,Nhập mã mời lớp,"Trang/modal nhập code — 1 ô input, validate real-time qua API (hợp lệ/hết hạn/hết lượt).",P1,P1,,Có,Chưa làm,,,
FE-126,Frontend,2.2. Khu vực Guest/Public,Nhập mã mời lớp,"Màn xác nhận tham gia lớp (tên lớp, tên gia sư).",P1,P1,,Có,Chưa làm,,,
FE-127,Frontend,2.2. Khu vực Guest/Public,Nhập mã mời lớp,"Nếu học viên dưới ngưỡng tuổi: hiện thông báo rõ ""Cần phụ huynh xác nhận trước khi bắt đầu học"" thay vì vào thẳng lớp.",P1,P1,,Có,Chưa làm,,,
FE-128,Frontend,2.2. Khu vực Guest/Public,Trang tra cứu Coin/nạp tiền,"[CHỜ QUYẾT ĐỊNH] — nằm ngoài phạm vi 125 việc gốc trong sheet TSIX (không có mã G-nào rõ ràng cho ""nạp tiền mua Coin""), cần hỏi lại có phải làm không hay Coin chỉ đến từ thưởng hoạt động.",P1,P1,,Có,Chưa làm,,,
FE-129,Frontend,2.3. Khu vực Học viên,"2.3.1. Giữ nguyên chức năng, redesign giao diện (P1)","/student/hoc-tap, /student/lich-hoc, /student/thi-thu/[examId] — dùng lại chức năng đã liệt kê ở files/08 mục 4.",P1,P1,,Có,Chưa làm,,,
FE-130,Frontend,2.3. Khu vực Học viên,"2.3.1. Giữ nguyên chức năng, redesign giao diện (P1)","/student/bai-giang/[lessonId] — trang lõi phức tạp nhất (1281 dòng), vẽ sau cùng, sau khi component chuẩn (2.1.2) đã ổn định.",P1,P1,,Có,Chưa làm,,,
FE-131,Frontend,2.3. Khu vực Học viên,2.3.2. Đã sửa ở lượt trước (Đã xong),"/student/ho-so — khối ""Liên kết phụ huynh"" (ParentLink) đã thêm đầy đủ 2 chiều (yêu cầu gửi tới mình / con của mình).",P1,P1,,—,Xong,,,
FE-132,Frontend,2.3. Khu vực Học viên,2.3.2. Đã sửa ở lượt trước (Đã xong),"/student/ho-so — theo D06: gộp hoặc bỏ hẳn section ""Thông tin phụ huynh"" tự khai cũ, chỉ giữ khối ParentLink đã xác minh.",P1,P1,D06,Không,Bị chặn,,,
FE-133,Frontend,2.3. Khu vực Học viên,2.3.2. Đã sửa ở lượt trước (Đã xong),"/student/ho-so — thêm mục ""Gói đã mua"" (danh sách SubscriptionPurchase, sau 1.4.5) và ""Lớp đã tham gia qua mã mời"" nếu cần hiển thị nguồn gốc enrollment.",P1,P1,,Có,Chưa làm,,,
FE-134,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)","2.4.1. Giữ nguyên chức năng, chỉ redesign (P1)","/admin (dashboard), /admin/danh-gia, /admin/tin-tuc, /admin/thi-thu + 5 trang con, /admin/vinh-danh — dùng lại chức năng ở files/08 mục 5.",P1,P1,,Có,Chưa làm,,,
FE-135,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.2. Đã sửa ở lượt trước (Đã xong),"/admin/hoc-sinh — khối ""Kích hoạt/Thu hồi khoá học"" đã đổi thành chỉ đọc + nút ""Xác nhận PH"".",P1,P1,,—,Xong,,,
FE-136,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.3. Cần tái cấu trúc lớn (P1 — sau khi model 1.4 có hướng),"/admin/khoa-hoc, /admin/khoa-hoc/[id] — tách đôi: phần ""gia sư tự quản lý lớp mình"" chuyển hẳn sang Gia sư Dashboard (2.5); Admin chỉ giữ view tổng quan toàn nền tảng (danh sách mọi lớp, không sửa nội dung trực tiếp) cho admin_super/admin_content.",P1,P1,,Có,Chưa làm,,,
FE-137,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.3. Cần tái cấu trúc lớn (P1 — sau khi model 1.4 có hướng),"/admin/doanh-thu — vẽ lại theo sổ Coin thật (sau 1.4.8), thêm bảng ""theo từng gia sư"" (tên gia sư, số lớp, doanh thu tháng).",P1,P1,,Có,Chưa làm,,,
FE-138,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.3. Cần tái cấu trúc lớn (P1 — sau khi model 1.4 có hướng),"/admin/quan-tri-vien — thay nút ""Thêm Giáo viên"" bằng tab ""Hồ sơ gia sư chờ duyệt"" (danh sách tutorVerified=false, nút Duyệt/Từ chối, xem trước hồ sơ).",P1,P1,,Có,Chưa làm,,,
FE-139,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.3. Cần tái cấu trúc lớn (P1 — sau khi model 1.4 có hướng),"/admin/cong-dong, /admin/cong-dong/bao-cao — thêm bộ lọc theo lớp (sau 1.4.7), badge phân biệt report thuộc lớp nào.",P1,P1,,Có,Chưa làm,,,
FE-140,Frontend,"2.4. Khu vực Admin (thu hẹp phạm vi, phần ""quản lý lớp"" tách sang Gia sư Dashboard)",2.4.3. Cần tái cấu trúc lớn (P1 — sau khi model 1.4 có hướng),/admin/khoa-hoc/danh-muc — làm rõ lại quyền sau khi vá 1.1.2 (chỉ admin sửa nếu chọn dùng chung).,P1,P1,,Có,Chưa làm,,,
FE-141,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang tổng quan,"3-4 stat card: tổng học viên, tổng lớp đang dạy, doanh thu tháng này, đánh giá trung bình (nếu D08 cho phép).",P1,P1,D08,Không,Bị chặn,,,
FE-142,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang tổng quan,"Danh sách lớp đang dạy dạng card: tên, số học viên/capacity, trạng thái (classStatus), nút vào quản lý.",P1,P1,,Có,Chưa làm,,,
FE-143,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang tổng quan,"Khối ""Việc cần làm"": số yêu cầu xác nhận phụ huynh đang chờ, số report cộng đồng lớp mình cần xử lý, số bài tự luận chưa chấm.",P1,P1,,Có,Chưa làm,,,
FE-144,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang tổng quan,"Loading skeleton, empty state (chưa có lớp nào — CTA ""Tạo lớp đầu tiên"").",P1,P1,,Có,Chưa làm,,,
FE-145,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang hồ sơ gia sư,"Form sửa bio, subjects (multi-select hoặc tag input), avatar.",P1,P1,,Có,Chưa làm,,,
FE-146,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang hồ sơ gia sư,"Badge trạng thái xác minh; nếu tutorVerified=false: banner ""Hồ sơ đang chờ duyệt, một số tính năng bị giới hạn cho tới khi được xác minh"".",P1,P1,,Có,Chưa làm,,,
FE-147,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,"Tab Cài đặt — giữ nguyên (tên, giá, ảnh, ngày khai giảng...) + thêm capacity, classStatus (1.4.2).",P1,P1,,Có,Chưa làm,,,
FE-148,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,"Tab Chương trình học — giữ nguyên (Section→Chapter→Lesson, drag&drop, AssignmentEditor).",P1,P1,,Có,Chưa làm,,,
FE-149,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,"Tab Học viên — giữ nguyên (roster, tiến độ) + thêm cột Enrollment.status (đang chờ phụ huynh/hoạt động/ngừng).",P1,P1,,Có,Chưa làm,,,
FE-150,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,"Tab Gói (mới) — CRUD Subscription: tên gói, giá Coin, thời hạn, toggle đang bán.",P1,P1,,Có,Chưa làm,,,
FE-151,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,"Tab Lời mời (mới) — tạo mã ClassInvite, xem lượt dùng, thu hồi.",P1,P1,,Có,Chưa làm,,,
FE-152,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang quản lý 1 lớp,Tab Lịch học — giữ nguyên.,P1,P1,,Có,Chưa làm,,,
FE-153,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang doanh thu của tôi,"Biểu đồ theo tháng + bảng giao dịch (CoinTransaction where sourceType=""class_subscription"" và classId thuộc mình).",P1,P1,,Có,Chưa làm,,,
FE-154,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang doanh thu của tôi,Export CSV (giữ pattern đã có ở /admin/doanh-thu).,P1,P1,,Có,Chưa làm,,,
FE-155,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang kiểm duyệt cộng đồng lớp mình,Danh sách report (ThreadReport/AnswerReport) trong phạm vi các lớp mình sở hữu.,P1,P1,,Có,Chưa làm,,,
FE-156,Frontend,"2.5. Gia sư Dashboard — hoàn toàn mới (P1/P2, gap lớn nhất theo files/08 mục 8.D)",Trang kiểm duyệt cộng đồng lớp mình,Hành động Duyệt vi phạm/Bỏ qua — dùng lại UI pattern từ /admin/cong-dong/bao-cao.,P1,P1,,Có,Chưa làm,,,
FE-157,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,TutorCard — dùng ở /giang-vien (grid) và tìm kiếm gia sư.,P1,P1,,Có,Chưa làm,,,
FE-158,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,TutorProfileHeader — dùng ở /mentor/[id] và trang hồ sơ Gia sư Dashboard.,P1,P1,,Có,Chưa làm,,,
FE-159,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,"SubscriptionPicker — danh sách gói + chọn mua, dùng ở trang chi tiết khóa học và Gia sư Dashboard (xem trước gói mình tạo).",P1,P1,,Có,Chưa làm,,,
FE-160,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,ClassInviteForm + ClassInviteList — tạo/xem/thu hồi mã mời.,P1,P1,,Có,Chưa làm,,,
FE-161,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,"InviteCodeInput — ô nhập mã mời có validate real-time, dùng ở trang nhập mã (2.2.4).",P1,P1,,Có,Chưa làm,,,
FE-162,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,"ParentLinkWidget — đã có ở student/ho-so, tách thành component riêng để dùng lại được (vd hiển thị rút gọn ở Gia sư Dashboard nếu cần xem trạng thái consent của học viên).",P1,P1,,Có,Chưa làm,,,
FE-163,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,"CommunityScopeSwitcher — chuyển đổi ""cộng đồng chung"" / ""cộng đồng lớp X"" ở /cong-dong.",P1,P1,,Có,Chưa làm,,,
FE-164,Frontend,"2.6. Component cần build mới/build lại (gắn với 2.1.2, liệt kê thêm component đặc thù tính năng mới)",Trang kiểm duyệt cộng đồng lớp mình,RevenueByTutorTable — dùng ở /admin/doanh-thu (view admin) và trang doanh thu Gia sư Dashboard (chỉ khác phạm vi dữ liệu).,P1,P1,,Có,Chưa làm,,,
